interaction_id,user_id,product_id,category,price,date,month,clicked,purchased,seasonal_multiplier,user_type
I0000000,U01107,E0214,electronics,975.93,2023-11-17,11,0,0,2.485,electronics_buyer
I0000001,U05427,F0080,fashion,53.77,2024-09-19,9,1,0,0.889,fashion_shopper
I0000002,U05270,F0441,fashion,24.78,2024-08-31,8,1,0,1.966,fashion_shopper
I0000003,U06496,F0096,fashion,102.22,2023-05-14,5,0,0,0.947,fashion_shopper
I0000004,U01687,E0052,electronics,169.3,2024-07-23,7,0,0,0.673,electronics_buyer
I0000005,U05987,E0254,electronics,499.08,2024-08-21,8,0,0,1.41,hybrid
I0000006,U04471,F0015,fashion,49.29,2024-04-15,4,0,0,1.352,hybrid
I0000007,U05681,E0174,electronics,608.34,2023-10-08,10,0,0,0.96,electronics_buyer
I0000008,U03475,F0027,fashion,148.83,2024-07-24,7,0,0,0.872,hybrid
I0000009,U02577,E0122,electronics,232.01,2023-02-22,2,1,0,0.691,electronics_buyer
I0000010,U02532,F0260,fashion,47.84,2024-11-19,11,0,0,2.138,fashion_shopper
I0000011,U04217,E0070,electronics,796.27,2023-04-03,4,0,0,0.732,electronics_buyer
I0000012,U06937,E0012,electronics,361.99,2023-06-23,6,0,0,0.875,electronics_buyer
I0000013,U02029,E0067,electronics,1391.54,2023-07-06,7,1,0,0.712,electronics_buyer
I0000014,U09335,F0393,fashion,96.89,2024-05-09,5,0,0,1.197,fashion_shopper
I0000015,U05958,E0235,electronics,1276.52,2023-01-16,1,0,0,0.662,electronics_buyer
I0000016,U05418,E0121,electronics,408.92,2024-03-25,3,0,0,0.526,electronics_buyer
I0000017,U06190,E0120,electronics,1393.57,2024-08-06,8,0,0,1.754,electronics_buyer
I0000018,U07764,E0238,electronics,547.67,2023-01-16,1,0,0,0.692,electronics_buyer
I0000019,U09939,E0129,electronics,661.31,2023-05-26,5,1,0,0.981,electronics_buyer
I0000020,U04819,F0257,fashion,65.72,2024-01-22,1,1,1,2.113,fashion_shopper
I0000021,U05919,E0049,electronics,695.52,2023-03-08,3,0,0,0.933,electronics_buyer
I0000022,U08409,F0300,fashion,233.6,2023-04-10,4,0,0,0.888,fashion_shopper
I0000023,U02810,F0287,fashion,171.32,2023-11-29,11,1,0,2.011,fashion_shopper
I0000024,U03415,E0019,electronics,702.57,2024-08-07,8,0,0,1.532,electronics_buyer
I0000025,U05952,E0002,electronics,929.42,2023-11-01,11,0,0,2.542,electronics_buyer
I0000026,U05433,F0170,fashion,151.81,2024-01-11,1,1,0,2.045,fashion_shopper
I0000027,U01716,F0442,fashion,55.78,2024-01-31,1,1,0,1.695,fashion_shopper
I0000028,U07897,E0171,electronics,427.36,2024-05-03,5,0,0,0.696,electronics_buyer
I0000029,U00289,E0246,electronics,692.47,2023-09-19,9,0,0,1.967,electronics_buyer
