product_id,category,subcategory,price,season
F0000,fashion,outerwear,33.21,fall
F0001,fashion,tops,122.8,summer
F0002,fashion,shoes,91.22,summer
F0003,fashion,bottoms,152.19,spring
F0004,fashion,outerwear,252.61,winter
F0005,fashion,shoes,225.57,summer
F0006,fashion,bottoms,113.03,all_season
F0007,fashion,accessories,124.06,summer
F0008,fashion,shoes,201.46,fall
F0009,fashion,bottoms,70.35,winter
F0010,fashion,accessories,44.28,winter
F0011,fashion,shoes,84.14,spring
F0012,fashion,tops,50.35,all_season
F0013,fashion,outerwear,115.32,all_season
F0014,fashion,bottoms,282.21,all_season
F0015,fashion,shoes,49.29,winter
F0016,fashion,bottoms,248.22,winter
F0017,fashion,outerwear,167.37,fall
F0018,fashion,shoes,195.38,winter
F0019,fashion,shoes,63.47,fall
F0020,fashion,outerwear,58.14,fall
F0021,fashion,bottoms,61.38,fall
F0022,fashion,tops,205.11,all_season
F0023,fashion,shoes,228.12,spring
F0024,fashion,bottoms,277.27,winter
F0025,fashion,bottoms,128.48,summer
F0026,fashion,shoes,146.66,summer
F0027,fashion,shoes,148.83,spring
F0028,fashion,bottoms,91.92,summer
F0029,fashion,outerwear,108.55,all_season
F0030,fashion,shoes,256.34,summer
F0031,fashion,outerwear,112.96,winter
F0032,fashion,outerwear,262.69,spring
F0033,fashion,tops,102.0,all_season
F0034,fashion,shoes,111.87,winter
F0035,fashion,bottoms,174.68,summer
F0036,fashion,accessories,44.39,summer
F0037,fashion,accessories,277.79,summer
F0038,fashion,tops,248.81,summer
F0039,fashion,outerwear,206.09,summer
F0040,fashion,shoes,296.62,all_season
F0041,fashion,outerwear,19.56,winter
F0042,fashion,tops,132.15,summer
F0043,fashion,outerwear,259.63,all_season
F0044,fashion,shoes,138.41,spring
F0045,fashion,shoes,16.49,summer
F0046,fashion,accessories,59.96,fall
F0047,fashion,shoes,138.71,spring
F0048,fashion,shoes,205.37,spring
F0049,fashion,bottoms,61.36,summer
F0050,fashion,accessories,142.69,winter
F0051,fashion,shoes,18.64,all_season
F0052,fashion,accessories,151.09,fall
F0053,fashion,bottoms,270.34,fall
F0054,fashion,bottoms,185.08,fall
F0055,fashion,tops,140.59,summer
F0056,fashion,accessories,61.24,winter
F0057,fashion,bottoms,72.69,fall
F0058,fashion,bottoms,36.81,summer
F0059,fashion,shoes,226.59,spring
F0060,fashion,bottoms,36.98,all_season
F0061,fashion,outerwear,124.43,spring
F0062,fashion,shoes,228.71,all_season
F0063,fashion,outerwear,218.15,summer
F0064,fashion,tops,179.6,winter
F0065,fashion,bottoms,177.82,summer
F0066,fashion,bottoms,40.74,winter
F0067,fashion,accessories,64.85,fall
F0068,fashion,tops,167.4,spring
F0069,fashion,bottoms,114.2,summer
F0070,fashion,outerwear,20.4,summer
F0071,fashion,tops,242.48,winter
F0072,fashion,accessories,201.34,winter
F0073,fashion,accessories,107.85,winter
F0074,fashion,tops,42.99,spring
F0075,fashion,shoes,183.49,fall
F0076,fashion,shoes,114.34,all_season
F0077,fashion,bottoms,87.79,winter
F0078,fashion,bottoms,220.62,spring
F0079,fashion,accessories,108.52,winter
F0080,fashion,tops,53.77,winter
F0081,fashion,shoes,152.27,fall
F0082,fashion,shoes,251.11,spring
F0083,fashion,tops,257.15,spring
F0084,fashion,outerwear,257.06,all_season
F0085,fashion,bottoms,134.96,summer
F0086,fashion,bottoms,240.42,summer
F0087,fashion,shoes,257.32,winter
F0088,fashion,tops,145.97,winter
F0089,fashion,shoes,105.84,all_season
F0090,fashion,outerwear,215.06,spring
F0091,fashion,tops,272.77,winter
F0092,fashion,bottoms,292.06,spring
F0093,fashion,tops,97.71,spring
F0094,fashion,accessories,287.51,spring
F0095,fashion,tops,157.3,fall
F0096,fashion,bottoms,102.22,winter
F0097,fashion,shoes,296.69,summer
F0098,fashion,bottoms,265.18,spring
F0099,fashion,tops,212.34,fall
F0100,fashion,outerwear,270.06,spring
F0101,fashion,bottoms,209.22,spring
F0102,fashion,bottoms,140.52,fall
F0103,fashion,tops,285.19,summer
F0104,fashion,outerwear,289.53,fall
F0105,fashion,bottoms,104.54,fall
F0106,fashion,tops,116.0,spring
F0107,fashion,bottoms,124.08,winter
F0108,fashion,outerwear,249.31,fall
F0109,fashion,tops,240.48,spring
F0110,fashion,tops,295.19,fall
F0111,fashion,shoes,147.59,fall
F0112,fashion,bottoms,224.98,winter
F0113,fashion,accessories,259.17,winter
F0114,fashion,accessories,78.05,all_season
F0115,fashion,tops,191.86,all_season
F0116,fashion,shoes,171.1,fall
F0117,fashion,tops,226.71,fall
F0118,fashion,bottoms,213.2,spring
F0119,fashion,accessories,246.65,winter
F0120,fashion,bottoms,103.68,spring
F0121,fashion,tops,76.66,fall
F0122,fashion,tops,244.48,spring
F0123,fashion,outerwear,117.76,summer
F0124,fashion,outerwear,96.96,spring
F0125,fashion,bottoms,110.99,spring
F0126,fashion,tops,33.91,spring
F0127,fashion,outerwear,235.35,summer
F0128,fashion,shoes,218.82,summer
F0129,fashion,bottoms,172.52,fall
F0130,fashion,accessories,219.08,summer
F0131,fashion,tops,121.34,fall
F0132,fashion,shoes,99.18,winter
F0133,fashion,outerwear,260.76,fall
F0134,fashion,tops,135.4,spring
F0135,fashion,shoes,70.83,spring
