month,control,variant_a,variant_b,synthetic_a,gap
1,0.03208002759572266,0.01422475106685633,0.01161524500907441,0.016175385442809685,-0.001950634375953355
2,0.006067500948047023,0.0060767185719711354,0.01300284437220642,0.011457450970813382,-0.005380732398842247
3,0.011570827489481066,0.00641254007837549,0.014437689969604863,0.013798870795337138,-0.007386330716961648
4,0.009397841977027498,0.009246088193456615,0.010509926041261192,0.010262121820251126,-0.0010160336267945116
5,0.009478672985781991,0.007284079084287201,0.013972809667673716,0.012971387135523382,-0.0056873080512361805
6,0.060723060723060725,0.0211864406779661,0.011022424933485367,0.022097151864337784,-0.0009107111863716835
7,0.054314197318666206,0.024607703281027102,0.011072928598701794,0.02070832330964152,0.003899379971385581
8,0.056907781967775115,0.04242842359434288,0.02139231327048586,0.029306178181771655,0.013122245412571225
9,0.007823613086770981,0.02533478103510677,0.02235695339143615,0.019118508395505572,0.006216272639601197
10,0.008585164835164836,0.004499826929733472,0.012079062957540264,0.01130052226052886,-0.0068006953307953874
11,0.038214285714285715,0.05417276720351391,0.031648012350443844,0.03311116635848837,0.021061600845025542
12,0.032314717246224096,0.06565478291563713,0.0371647509578544,0.03608402436133468,0.029570758554302454
