user_id,user_type,age,price_sensitivity,session_frequency,location,signup_date,experiment_group
U00000,fashion_shopper,49,0.12820371460905364,23,Oklahoma,2024-10-24,variant_a
U00001,hybrid,53,0.196043474681538,6,Idaho,2023-10-22,variant_b
U00002,electronics_buyer,54,0.594997736938622,5,New York,2024-04-09,variant_b
U00003,electronics_buyer,31,0.6322666716090225,27,Texas,2024-09-02,variant_a
U00004,fashion_shopper,44,0.12608823708438227,5,Missouri,2024-01-30,control
U00005,fashion_shopper,36,0.6160391092014026,17,Iowa,2024-05-25,control
U00006,fashion_shopper,48,0.8546522727912733,6,Alaska,2024-01-03,control
U00007,hybrid,63,0.7500845595645586,13,New Mexico,2024-08-10,variant_b
U00008,electronics_buyer,26,0.21806659352871877,9,Delaware,2026-01-04,variant_a
U00009,electronics_buyer,55,0.6332271828072534,24,Arizona,2024-09-10,variant_b
U00010,fashion_shopper,34,0.7050272500667921,12,Tennessee,2023-06-26,control
U00011,hybrid,36,0.13350808157706262,10,Washington,2024-06-09,variant_b
U00012,hybrid,61,0.8698129018152604,1,Nebraska,2024-01-06,variant_b
U00013,fashion_shopper,21,0.9156406575608471,11,Mississippi,2024-10-02,control
U00014,fashion_shopper,28,0.8654070460260327,29,North Carolina,2025-04-09,control
U00015,fashion_shopper,39,0.8421683211902019,6,Vermont,2025-01-04,control
U00016,fashion_shopper,21,0.770468678614804,3,Virginia,2026-04-30,control
U00017,electronics_buyer,34,0.6700888281537641,6,Alaska,2026-01-10,variant_a
U00018,fashion_shopper,25,0.7107643044894267,9,Indiana,2025-11-23,variant_a
U00019,fashion_shopper,63,0.8257557640014848,22,Mississippi,2026-03-20,control
U00020,electronics_buyer,51,0.6962486125251741,8,Arizona,2026-01-13,variant_a
U00021,fashion_shopper,28,0.3949542610138639,15,Mississippi,2024-03-01,control
U00022,fashion_shopper,48,0.4383649919452185,22,Washington,2023-10-01,control
U00023,fashion_shopper,28,0.9073517215350629,6,Connecticut,2024-04-04,variant_a
U00024,electronics_buyer,55,0.11540987721744572,23,Michigan,2026-05-10,variant_a
U00025,electronics_buyer,38,0.7289385231198539,11,Wisconsin,2026-02-24,variant_b
U00026,fashion_shopper,63,0.9592997971826939,29,Wyoming,2024-11-08,control
U00027,electronics_buyer,47,0.7356053529621763,10,Pennsylvania,2024-03-09,variant_a
U00028,electronics_buyer,27,0.9945207894086039,11,Idaho,2024-05-14,variant_a
U00029,fashion_shopper,43,0.7187904149754977,4,West Virginia,2025-02-09,control
U00030,electronics_buyer,44,0.13092672629517496,29,Illinois,2024-06-04,variant_a
U00031,fashion_shopper,25,0.8443088934822313,13,Massachusetts,2024-06-20,control
U00032,fashion_shopper,56,0.35616692074538714,8,Hawaii,2024-01-10,control
U00033,hybrid,25,0.5014515030979969,20,Washington,2024-10-29,variant_b
U00034,hybrid,25,0.38088272431637393,15,New York,2023-12-07,variant_b
U00035,hybrid,51,0.3416986955887115,7,Alabama,2024-08-15,variant_b
U00036,fashion_shopper,33,0.48826513330280685,1,North Carolina,2025-04-01,control
U00037,fashion_shopper,58,0.44087630359660646,28,Montana,2025-03-30,control
U00038,electronics_buyer,30,0.6700047236583304,25,Ohio,2025-09-29,variant_b
U00039,fashion_shopper,40,0.8318360808887595,26,North Dakota,2026-04-08,variant_a
U00040,fashion_shopper,29,0.36737978786851666,9,South Dakota,2025-08-02,control
U00041,electronics_buyer,44,0.29234903753981567,23,Pennsylvania,2025-07-11,variant_a
U00042,fashion_shopper,39,0.700205743783308,8,Montana,2024-07-08,control
U00043,hybrid,49,0.7032880592477034,2,Delaware,2026-01-21,variant_b
U00044,fashion_shopper,44,0.9110181153575546,26,Washington,2024-12-28,control
U00045,electronics_buyer,19,0.11435111780797977,14,Texas,2024-12-21,variant_a
U00046,fashion_shopper,62,0.867736595904859,12,Kentucky,2025-04-02,control
U00047,electronics_buyer,50,0.5689019556535213,26,Tennessee,2024-12-28,variant_a
U00048,electronics_buyer,43,0.6591718802548889,23,Texas,2024-09-04,variant_a
U00049,fashion_shopper,45,0.18223429650527329,17,Florida,2023-08-06,control
U00050,hybrid,36,0.4893534395848411,19,Hawaii,2024-06-13,variant_b
U00051,electronics_buyer,60,0.30457216651467145,6,Colorado,2023-07-26,variant_b
U00052,hybrid,22,0.32880252707425817,21,Minnesota,2023-07-01,variant_b
U00053,hybrid,50,0.5536856032084246,5,Minnesota,2024-11-20,variant_b
U00054,electronics_buyer,37,0.8312103553628011,25,Arizona,2025-03-18,variant_a
U00055,hybrid,47,0.7694028371303705,6,Mississippi,2024-02-01,variant_b
U00056,fashion_shopper,62,0.6318999631773584,3,Oklahoma,2024-06-12,control
U00057,fashion_shopper,25,0.5854763734781203,16,Missouri,2025-05-27,control
U00058,fashion_shopper,55,0.48457543891104093,18,Colorado,2025-09-22,control
U00059,fashion_shopper,34,0.9754389762052477,14,Maryland,2026-01-14,control
U00060,fashion_shopper,61,0.6041732988108099,25,Ohio,2024-01-20,variant_a
U00061,fashion_shopper,18,0.3285697584809999,15,North Carolina,2024-04-09,control
U00062,hybrid,20,0.30708171283603564,26,North Dakota,2025-06-28,variant_b
U00063,fashion_shopper,63,0.6502177276976276,4,Idaho,2024-04-16,variant_a
U00064,fashion_shopper,43,0.5705447745798359,11,West Virginia,2026-05-13,control
U00065,electronics_buyer,48,0.1069280226592415,5,Nebraska,2025-12-18,variant_a
U00066,fashion_shopper,25,0.8470588349762014,9,Utah,2026-03-18,control
U00067,hybrid,60,0.7337101188091911,5,Montana,2025-03-24,variant_b
U00068,fashion_shopper,63,0.6956463607102932,7,Maryland,2024-02-14,control
U00069,hybrid,25,0.16190259192789308,18,Connecticut,2026-01-23,variant_b
U00070,electronics_buyer,52,0.42585026515524227,18,Missouri,2023-05-23,variant_b
U00071,fashion_shopper,56,0.9418440346595076,20,Arizona,2023-10-22,control
U00072,fashion_shopper,45,0.8763303172072273,24,Minnesota,2024-02-17,control
U00073,hybrid,21,0.35698864408258013,2,Hawaii,2024-06-24,variant_b
U00074,electronics_buyer,33,0.24135299568922486,26,Michigan,2025-07-04,variant_b
U00075,electronics_buyer,30,0.5041791614517194,23,Iowa,2026-04-29,variant_b
U00076,electronics_buyer,37,0.42024734080089476,13,South Carolina,2023-08-12,variant_b
U00077,fashion_shopper,22,0.7140037390353919,13,Louisiana,2026-05-18,control
U00078,fashion_shopper,54,0.9697913290758877,17,Kansas,2024-11-03,variant_a
U00079,fashion_shopper,37,0.42670130498430536,25,Louisiana,2024-10-04,control
U00080,hybrid,41,0.15600175538701783,26,Arizona,2025-07-29,variant_b
U00081,electronics_buyer,53,0.9078526075081467,22,New York,2023-12-21,variant_a
U00082,fashion_shopper,51,0.13415475721588374,27,Alaska,2024-03-14,control
U00083,fashion_shopper,62,0.9574893074379998,17,Arkansas,2024-12-13,control
U00084,fashion_shopper,51,0.6981214852081358,26,Oklahoma,2024-08-09,control
U00085,fashion_shopper,36,0.9475202875977542,6,Connecticut,2024-11-01,control
U00086,electronics_buyer,34,0.27969371798408044,14,Ohio,2026-05-18,variant_b
U00087,electronics_buyer,22,0.13662981572842686,21,West Virginia,2025-06-23,variant_a
U00088,hybrid,42,0.5393889804488426,14,Oregon,2026-03-10,variant_b
U00089,electronics_buyer,35,0.5055610731131127,12,Rhode Island,2024-04-02,variant_a
U00090,fashion_shopper,25,0.3983430459293946,5,Arkansas,2025-01-11,control
U00091,electronics_buyer,44,0.9618908269498277,5,Wisconsin,2025-03-12,variant_b
U00092,electronics_buyer,32,0.840325358945289,4,Maryland,2024-05-31,variant_b
U00093,electronics_buyer,62,0.695423819238034,23,Arkansas,2025-09-04,variant_a
U00094,electronics_buyer,30,0.24657246247404496,29,California,2025-11-19,variant_b
U00095,electronics_buyer,33,0.7608910673966722,25,Hawaii,2024-03-18,variant_a
U00096,electronics_buyer,39,0.7543112092297516,13,Wisconsin,2025-08-17,variant_a
U00097,fashion_shopper,37,0.48256135625440677,4,Tennessee,2025-12-12,variant_a
U00098,fashion_shopper,30,0.9323073187426123,18,Georgia,2026-02-23,control
U00099,fashion_shopper,37,0.2502800940061094,16,Nevada,2025-03-31,control
U00100,fashion_shopper,19,0.3406038061704979,18,Hawaii,2023-06-07,control
U00101,electronics_buyer,52,0.1569019053255703,2,Georgia,2024-12-20,variant_a
U00102,fashion_shopper,64,0.8159058623598288,23,Washington,2024-03-07,control
U00103,electronics_buyer,36,0.6595834474858575,4,Iowa,2025-01-30,variant_a
U00104,hybrid,62,0.38344627511312457,20,Mississippi,2024-06-18,variant_b
U00105,fashion_shopper,54,0.24743229723488386,17,Vermont,2024-01-13,control
U00106,fashion_shopper,23,0.13613299302586634,20,Oklahoma,2024-10-19,variant_a
U00107,electronics_buyer,31,0.25007101176334295,6,California,2025-03-07,variant_b
U00108,fashion_shopper,21,0.5079561817038923,18,Ohio,2024-02-23,control
U00109,fashion_shopper,39,0.32245927210954556,20,Texas,2025-10-11,control
U00110,fashion_shopper,56,0.33308395968877,27,Colorado,2026-02-23,control
U00111,fashion_shopper,53,0.8880187300009429,7,Rhode Island,2024-07-20,control
U00112,hybrid,51,0.5636239061149906,13,Idaho,2026-01-05,variant_b
U00113,hybrid,44,0.7563267758155732,9,Ohio,2025-12-04,variant_b
U00114,electronics_buyer,24,0.1321398541253288,2,Minnesota,2025-08-04,variant_a
U00115,hybrid,20,0.4286470201102258,8,California,2024-01-05,variant_b
U00116,hybrid,64,0.5312524126558976,14,Iowa,2025-05-10,variant_b
U00117,fashion_shopper,50,0.26777516968916626,22,Pennsylvania,2025-06-03,control
U00118,hybrid,19,0.2081723873009848,24,Maryland,2024-04-26,variant_b
U00119,electronics_buyer,59,0.8832734006498583,18,North Dakota,2024-03-06,variant_a
U00120,hybrid,33,0.9454884643898169,27,Kentucky,2026-05-13,variant_b
U00121,hybrid,42,0.17092602824086667,1,Georgia,2024-06-26,variant_b
U00122,fashion_shopper,32,0.4141168412881988,23,Pennsylvania,2025-05-11,control
U00123,fashion_shopper,41,0.9624570653300263,29,Maine,2025-11-23,control
U00124,fashion_shopper,32,0.1748455598192184,9,Louisiana,2023-09-17,control
U00125,fashion_shopper,48,0.6792772355908536,9,Minnesota,2025-10-29,variant_a
U00126,hybrid,31,0.974999233870305,2,Nevada,2024-07-06,variant_b
U00127,hybrid,31,0.9804013017232371,16,New York,2025-12-14,variant_b
U00128,fashion_shopper,23,0.5241009978133689,4,North Dakota,2025-03-30,control
U00129,electronics_buyer,31,0.24647419700414255,13,Nevada,2024-11-29,variant_a
U00130,fashion_shopper,34,0.28187588347969494,17,West Virginia,2024-03-06,variant_a
U00131,fashion_shopper,35,0.9006412556119552,11,West Virginia,2025-06-01,control
U00132,fashion_shopper,37,0.9205147038967624,23,Pennsylvania,2023-09-09,control
U00133,fashion_shopper,34,0.6470916794861993,2,South Dakota,2023-10-25,control
U00134,hybrid,33,0.7895587595229202,4,Nevada,2025-02-14,variant_b
U00135,fashion_shopper,57,0.7659381263233673,12,Michigan,2023-08-16,control
U00136,electronics_buyer,56,0.6956394381901962,2,New Mexico,2024-04-01,variant_a
U00137,electronics_buyer,49,0.8445492593847451,1,Florida,2023-11-18,variant_b
U00138,fashion_shopper,61,0.7168659607362889,23,Montana,2024-12-16,variant_a
U00139,hybrid,26,0.5806020751727494,6,Maryland,2025-06-21,variant_b
U00140,hybrid,44,0.3132607263293411,16,Oregon,2023-06-20,variant_b
U00141,fashion_shopper,63,0.7694993297067572,2,Vermont,2026-05-18,control
U00142,electronics_buyer,50,0.526094081054447,14,Alaska,2024-11-09,variant_a
U00143,fashion_shopper,27,0.36531251560675837,20,Rhode Island,2023-12-22,control
U00144,fashion_shopper,34,0.8217516481675978,12,Connecticut,2025-06-10,control
U00145,fashion_shopper,53,0.7270422403177255,27,Michigan,2025-11-04,control
U00146,electronics_buyer,34,0.94360560681223,19,Montana,2026-01-19,variant_a
U00147,electronics_buyer,35,0.24889747601698997,28,Indiana,2023-10-11,variant_a
U00148,fashion_shopper,40,0.6842703561728438,3,Illinois,2025-06-25,control
U00149,fashion_shopper,51,0.3198155212793584,19,California,2024-06-13,control
U00150,hybrid,25,0.9132246867714775,11,Delaware,2026-02-16,variant_b
U00151,fashion_shopper,30,0.18954947283095414,4,New York,2024-09-17,control
U00152,fashion_shopper,40,0.6905456258003895,17,Nebraska,2023-12-19,control
U00153,electronics_buyer,37,0.8119771493752269,17,West Virginia,2024-05-21,variant_a
U00154,hybrid,39,0.4194260563282365,7,Michigan,2024-06-27,variant_b
U00155,fashion_shopper,64,0.9587242714454283,5,Tennessee,2025-09-15,control
U00156,electronics_buyer,40,0.8656576161274335,19,Hawaii,2023-08-25,variant_b
U00157,electronics_buyer,58,0.365156469716413,25,Kansas,2025-11-25,variant_b
U00158,fashion_shopper,52,0.10678698344439881,21,Colorado,2024-12-21,control
U00159,electronics_buyer,20,0.3669914585062548,26,Texas,2024-06-29,variant_b
U00160,fashion_shopper,51,0.35317942342366826,19,South Dakota,2025-10-19,variant_a
U00161,electronics_buyer,50,0.900968146750818,9,Washington,2024-08-01,variant_a
U00162,electronics_buyer,63,0.9704090604292728,17,Ohio,2024-06-06,variant_a
U00163,electronics_buyer,34,0.16339598737323432,9,Vermont,2024-05-01,variant_a
U00164,fashion_shopper,62,0.5241653456799851,14,Kansas,2025-12-16,control
U00165,hybrid,36,0.5934987986768162,5,Minnesota,2026-02-01,variant_b
U00166,fashion_shopper,47,0.18362049519673296,22,Pennsylvania,2024-02-19,control
U00167,fashion_shopper,40,0.43974793822377034,2,Connecticut,2025-06-30,control
U00168,fashion_shopper,32,0.3853741756536556,24,Alaska,2026-03-09,control
U00169,electronics_buyer,31,0.5824507188943786,15,Texas,2024-08-12,variant_a
U00170,electronics_buyer,19,0.6950718097587442,16,Oklahoma,2024-05-02,variant_b
U00171,fashion_shopper,56,0.7331365994469099,19,Louisiana,2025-11-23,control
U00172,electronics_buyer,35,0.22307952125204877,1,New Hampshire,2024-02-08,variant_a
U00173,fashion_shopper,23,0.8316529317501593,23,Indiana,2024-07-11,control
U00174,electronics_buyer,49,0.7106878268116831,12,South Carolina,2024-05-02,variant_a
U00175,fashion_shopper,38,0.9001674250720476,19,Oklahoma,2026-03-06,control
U00176,electronics_buyer,57,0.5044024534918907,20,New York,2023-11-15,variant_b
U00177,fashion_shopper,45,0.9045007864499724,15,Oregon,2026-01-05,variant_a
U00178,hybrid,44,0.8791967101204679,5,Ohio,2025-03-04,variant_b
U00179,fashion_shopper,19,0.4945683991233426,1,Utah,2026-03-12,control
U00180,fashion_shopper,50,0.44302898376368083,11,Maryland,2024-10-06,variant_a
U00181,fashion_shopper,33,0.9395308134732311,27,Wyoming,2024-10-17,control
U00182,hybrid,56,0.7436482610845939,9,Iowa,2025-02-24,variant_b
U00183,hybrid,39,0.9354208117942681,7,Alabama,2025-10-30,variant_b
U00184,fashion_shopper,60,0.8172773010062317,2,New York,2025-02-16,control
U00185,electronics_buyer,64,0.6483676953622729,29,Washington,2025-04-15,variant_a
U00186,hybrid,30,0.20426749930338806,17,New Mexico,2025-02-03,variant_b
U00187,electronics_buyer,19,0.3623326053211886,16,New Jersey,2026-05-14,variant_a
U00188,electronics_buyer,31,0.9719581663885524,16,Maryland,2023-07-26,variant_a
U00189,fashion_shopper,55,0.38747988884278406,14,South Carolina,2025-02-08,control
U00190,fashion_shopper,58,0.1839293828068337,27,Missouri,2024-07-18,control
U00191,hybrid,45,0.7367980203273878,2,New Jersey,2023-07-29,variant_b
U00192,hybrid,24,0.7606038290893158,19,Hawaii,2023-06-02,variant_b
U00193,electronics_buyer,35,0.35691194825843575,28,Kansas,2026-03-28,variant_a
U00194,fashion_shopper,58,0.3679047814116734,3,Maine,2024-01-29,control
U00195,fashion_shopper,53,0.5220036869579056,8,Wyoming,2025-10-07,variant_a
U00196,electronics_buyer,58,0.11961005478602998,21,North Carolina,2025-01-21,variant_b
U00197,hybrid,53,0.8103907093250472,25,Kentucky,2024-09-05,variant_b
U00198,hybrid,61,0.385379908546713,19,Kansas,2024-12-15,variant_b
U00199,electronics_buyer,21,0.8683867918017798,16,Louisiana,2025-06-11,variant_b
U00200,electronics_buyer,47,0.8223673794400304,22,Connecticut,2024-09-23,variant_a
U00201,fashion_shopper,41,0.6952618298069048,4,Pennsylvania,2026-04-04,control
U00202,fashion_shopper,37,0.39238738038935983,8,Arizona,2026-02-21,control
U00203,hybrid,63,0.564684905495053,28,South Carolina,2025-01-21,variant_b
U00204,electronics_buyer,48,0.5003463318381631,1,Wisconsin,2025-01-12,variant_a
U00205,fashion_shopper,41,0.40499369762380677,4,Idaho,2025-07-31,control
U00206,fashion_shopper,24,0.8633226603728603,7,Virginia,2023-08-13,control
U00207,electronics_buyer,43,0.5351563671198988,25,Tennessee,2024-05-22,variant_a
U00208,fashion_shopper,30,0.8494507880174318,29,Iowa,2023-12-17,control
U00209,fashion_shopper,25,0.19469662672764187,1,Maryland,2024-12-15,control
U00210,electronics_buyer,22,0.22692230974030217,24,Indiana,2024-08-24,variant_a
U00211,electronics_buyer,61,0.9795882746016791,18,Alabama,2025-01-26,variant_b
U00212,electronics_buyer,30,0.6289916163454806,4,Kansas,2024-02-23,variant_a
U00213,fashion_shopper,46,0.5587927061491441,20,Florida,2024-07-01,control
U00214,electronics_buyer,37,0.5708404568297005,14,New Jersey,2023-11-24,variant_b
U00215,fashion_shopper,31,0.29374189662957384,8,South Dakota,2025-09-19,control
U00216,fashion_shopper,49,0.7468335545517757,27,Mississippi,2025-02-19,control
U00217,electronics_buyer,44,0.17630256135677894,18,Rhode Island,2023-08-04,variant_b
U00218,electronics_buyer,42,0.6159913417927209,7,Mississippi,2025-06-14,variant_a
U00219,hybrid,21,0.6136919169273113,3,Utah,2025-10-20,variant_b
U00220,electronics_buyer,38,0.9227695817201599,25,Indiana,2025-06-30,variant_a
U00221,electronics_buyer,35,0.5735645290943743,21,New Jersey,2025-03-18,variant_a
U00222,fashion_shopper,56,0.22335642637676156,14,Arizona,2024-09-18,control
U00223,fashion_shopper,32,0.6154779333233463,12,Wyoming,2025-07-16,variant_a
U00224,fashion_shopper,55,0.18219487992879912,15,Tennessee,2024-09-20,control
U00225,fashion_shopper,41,0.2834144517699295,8,Michigan,2023-08-11,control
U00226,hybrid,25,0.12799772576867452,5,Alabama,2023-09-25,variant_b
U00227,fashion_shopper,45,0.5619642242135485,17,Florida,2024-01-08,variant_a
U00228,hybrid,38,0.17607935376421513,25,North Dakota,2024-06-17,variant_b
U00229,electronics_buyer,33,0.5224549406781962,10,Maryland,2023-06-03,variant_a
U00230,electronics_buyer,33,0.9396505317917296,11,Nebraska,2024-02-23,variant_b
U00231,electronics_buyer,52,0.7477852717173988,28,Arizona,2024-08-31,variant_a
U00232,electronics_buyer,34,0.16967050680276374,23,New Hampshire,2024-11-30,variant_a
U00233,electronics_buyer,26,0.30178883098795883,16,West Virginia,2025-08-31,variant_a
U00234,fashion_shopper,52,0.7062961779040908,16,Idaho,2024-09-27,control
U00235,electronics_buyer,46,0.9052316749217654,4,Michigan,2024-02-29,variant_b
U00236,fashion_shopper,56,0.1296267280875584,23,New Mexico,2024-07-20,control
U00237,fashion_shopper,35,0.8312060185485346,5,Iowa,2025-04-02,control
U00238,electronics_buyer,29,0.6056324923044778,10,Illinois,2023-08-29,variant_a
U00239,fashion_shopper,36,0.5914821927667534,14,New Mexico,2025-05-16,control
U00240,hybrid,39,0.9620318644780221,9,New Mexico,2023-12-24,variant_b
U00241,hybrid,32,0.7728801513370958,18,Colorado,2025-06-21,variant_b
U00242,hybrid,18,0.8651069812505007,20,Delaware,2024-01-04,variant_b
U00243,fashion_shopper,19,0.4185960125902001,6,New Mexico,2024-12-29,variant_a
U00244,fashion_shopper,25,0.5989276367455689,11,North Dakota,2025-10-19,control
